,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
402,40,48,30,10,0.2,0.3,0.19739580154418945,8,2
403,40,36,40,10,0.2,0.3,0.26180171966552734,4,0
404,40,36,50,10,0.2,0.3,0.6938157081604004,6,0
405,40,12,60,10,0.2,0.3,0.5273692607879639,2,0
406,40,12,70,10,0.2,0.3,2.4445056915283203,8,0
407,40,18,80,10,0.2,0.3,1.9519612789154053,4,0
408,40,7,90,10,0.2,0.3,1.0504004955291748,1,0
409,40,8,100,10,0.2,0.3,1.4380333423614502,1,0
410,41,4,10,10,0.2,0.3,0.0065348148345947266,4,2
411,41,72,20,10,0.2,0.3,0.34210824966430664,48,5
412,41,96,30,10,0.2,0.3,1.8954129219055176,60,6
413,41,360,40,10,0.2,0.3,1.9715898036956787,36,1
414,41,72,50,10,0.2,0.3,0.7644565105438232,6,0
415,41,12,60,10,0.2,0.3,0.356975793838501,1,0
416,41,54,70,10,0.2,0.3,1.8777928352355957,6,0
417,41,18,80,10,0.2,0.3,0.7798125743865967,1,0
418,41,48,90,10,0.2,0.3,1.6844308376312256,2,0
419,41,48,100,10,0.2,0.3,12.36581826210022,16,0
420,42,4,10,10,0.2,0.3,0.006588935852050781,4,2
421,42,96,20,10,0.2,0.3,0.695143461227417,96,4
422,42,60,30,10,0.2,0.3,0.2894463539123535,12,2
423,42,16,40,10,0.2,0.3,0.1652529239654541,2,0
424,42,72,50,10,0.2,0.3,1.3790767192840576,12,0
425,42,192,60,10,0.2,0.3,0.6954526901245117,2,0
426,42,256,70,10,0.2,0.3,1.9806604385375977,6,0
427,42,192,80,10,0.2,0.3,0.8677833080291748,1,0
428,42,20,90,10,0.2,0.3,4.963310480117798,8,0
429,42,96,100,10,0.2,0.3,2.3137123584747314,2,0
430,43,6,10,10,0.2,0.3,0.010450363159179688,6,3
431,43,12,20,10,0.2,0.3,0.031992197036743164,3,1
432,43,24,30,10,0.2,0.3,0.19864535331726074,8,1
433,43,88,40,10,0.2,0.3,6.808481693267822,72,6
434,43,144,50,10,0.2,0.3,1.520110845565796,12,0
435,43,8,60,10,0.2,0.3,0.37415075302124023,1,0
436,43,96,70,10,0.2,0.3,5.777625560760498,20,1
437,43,216,80,10,0.2,0.3,2.1983346939086914,4,0
438,43,24,90,10,0.2,0.3,2.8348324298858643,4,0
439,43,32,100,10,0.2,0.3,6.731048345565796,8,0
440,44,4,10,10,0.2,0.3,0.006402492523193359,4,2
441,44,12,20,10,0.2,0.3,0.10497379302978516,12,3
442,44,24,30,10,0.2,0.3,0.1181640625,4,1
443,44,4,40,10,0.2,0.3,0.16262245178222656,2,0
